Tarih,Gün,Ürün Adı,Birim,En Düşük Fiyat,En Yüksek Fiyat
12.04.2021,Pazartesi,BAKLA,Kg,3,"5,5"
12.04.2021,Pazartesi,BİBER (CİN),Kg,15,23
12.04.2021,Pazartesi,BİBER (ÇARLİ),Kg,6,8
12.04.2021,Pazartesi,BİBER (DOLMA),Kg,6,8
12.04.2021,Pazartesi,BİBER (KIL),Kg,10,14
12.04.2021,Pazartesi,BİBER (KAPYA),Kg,"8,5",16
12.04.2021,Pazartesi,BİBER (SİVRİ),Kg,8,11
12.04.2021,Pazartesi,BİBER (KÖY),Kg,8,10
12.04.2021,Pazartesi,BROKOLİ,Kg,6,9
12.04.2021,Pazartesi,DERE OTU,Bağ,"0,5",1
12.04.2021,Pazartesi,DOMATES (Çeri),Kg,7,11
12.04.2021,Pazartesi,DOMATES (MUHTELİF),Kg,"3,5",6
12.04.2021,Pazartesi,DOMATES (SALKIM),Kg,4,"6,5"
12.04.2021,Pazartesi,DOMATES (KÖY),Kg,"4,5",7
12.04.2021,Pazartesi,EKŞİ OT (BAĞ),Bağ,"0,5",1
12.04.2021,Pazartesi,ENGİNAR (ADET),Adet,5,7
12.04.2021,Pazartesi,FASULYE (MUHTELİF),Kg,8,15
12.04.2021,Pazartesi,FESLEĞEN (REYHAN),Bağ,1,2
12.04.2021,Pazartesi,HAVUÇ,Kg,1,"2,5"
12.04.2021,Pazartesi,ISPANAK,Kg,1,"2,5"
12.04.2021,Pazartesi,KABAK (BAL),Kg,1,2
12.04.2021,Pazartesi,KABAK (BEYAZ),Kg,2,4
12.04.2021,Pazartesi,KABAK (KARA),Kg,2,"3,5"
12.04.2021,Pazartesi,KARNABAHAR,Kg,3,5
12.04.2021,Pazartesi,KEREVİZ,Kg,2,4
12.04.2021,Pazartesi,LAHANA (BEYAZ),Kg,"0,7","1,8"
12.04.2021,Pazartesi,LAHANA (MOR),Kg,1,2
12.04.2021,Pazartesi,MANTAR (KÜLTÜR),Kg,7,13
12.04.2021,Pazartesi,MARUL (AYSBERK),Adet,"3,5","4,8"
12.04.2021,Pazartesi,MARUL (MOR),Adet,"2,5",4
12.04.2021,Pazartesi,NANE (BAĞ),Bağ,"0,5",1
12.04.2021,Pazartesi,PANCAR (KIRMIZI),Kg,"1,5","2,5"
