Tarih,Maks_Sicaklik_C,Min_Sicaklik_C,Ort_Sicaklik_C,Toplam_Yagis_mm
30.03.2021,8.3,0.5,4.4,0.1
31.03.2021,9.8,1.5,5.5,1.4
01.04.2021,12.2,3.2,6.7,4.1
02.04.2021,11.4,2.8,6.3,3.0
03.04.2021,15.5,0.2,7.9,0.0
04.04.2021,16.4,2.8,9.5,0.6
05.04.2021,19.1,7.0,12.4,0.0
06.04.2021,22.7,5.7,13.7,0.0
07.04.2021,22.5,8.1,15.1,0.0
08.04.2021,20.9,7.0,13.2,0.0
09.04.2021,9.8,1.2,4.4,2.0
10.04.2021,3.5,-1.1,1.1,7.1
11.04.2021,6.4,-1.6,2.4,0.1
12.04.2021,8.9,0.4,4.1,0.2
13.04.2021,13.7,0.0,6.7,0.0
14.04.2021,19.1,4.1,11.4,0.2
15.04.2021,20.0,7.6,13.3,0.1
16.04.2021,22.9,7.3,14.9,0.0
17.04.2021,24.9,9.0,17.1,0.2
18.04.2021,26.9,13.9,19.6,0.3
19.04.2021,26.3,11.2,18.4,0.3
20.04.2021,24.2,11.4,17.7,0.0
21.04.2021,20.2,6.5,13.5,0.0
22.04.2021,20.8,7.9,13.8,0.0
23.04.2021,24.3,6.8,15.7,0.0
24.04.2021,23.5,9.5,16.6,0.0
25.04.2021,22.5,11.8,16.7,0.3
26.04.2021,18.0,10.4,13.7,0.9
27.04.2021,22.0,6.4,14.2,0.0
28.04.2021,28.5,11.0,19.9,0.0
29.04.2021,27.8,15.9,21.5,0.0
30.04.2021,26.7,14.2,20.8,0.1
01.05.2021,28.2,12.1,20.8,0.0
02.05.2021,30.6,13.6,22.5,0.0
03.05.2021,32.3,17.2,25.0,0.0
04.05.2021,25.9,15.9,21.1,0.1
05.05.2021,25.9,12.0,18.9,0.0
06.05.2021,23.8,12.4,17.7,1.1
07.05.2021,24.4,10.1,17.9,0.0
08.05.2021,29.4,13.0,21.9,0.2
09.05.2021,21.2,11.3,16.8,0.0
10.05.2021,18.2,6.7,12.0,0.0
11.05.2021,23.0,7.0,15.0,0.0
12.05.2021,28.7,9.7,19.8,0.0
13.05.2021,29.8,12.0,20.9,0.0
14.05.2021,30.1,11.9,21.2,0.0
15.05.2021,30.2,12.6,21.7,0.0
16.05.2021,26.3,13.6,19.7,0.4
17.05.2021,25.2,12.1,18.7,0.0
18.05.2021,29.7,11.7,21.1,0.0
19.05.2021,26.7,13.5,20.3,0.0
20.05.2021,32.4,13.8,23.2,0.0
21.05.2021,28.3,15.2,21.1,0.0
22.05.2021,19.7,10.9,14.9,0.3
23.05.2021,22.4,9.1,16.2,0.0
24.05.2021,25.1,12.0,18.7,0.0
25.05.2021,27.7,13.5,20.9,0.0
26.05.2021,31.0,15.0,23.5,0.0
27.05.2021,30.2,17.9,23.7,0.2
28.05.2021,30.7,13.8,22.3,0.3
29.05.2021,25.0,14.8,19.8,0.5
30.05.2021,28.3,11.5,19.8,0.0
31.05.2021,28.0,14.2,20.5,0.2
01.06.2021,23.5,11.3,16.4,5.7
02.06.2021,21.1,9.2,15.4,0.9
03.06.2021,22.5,7.4,15.3,0.0
04.06.2021,20.4,9.4,15.5,0.0
05.06.2021,20.2,9.9,15.5,0.0
06.06.2021,23.3,10.5,17.0,0.0
07.06.2021,28.0,11.2,20.1,0.0
08.06.2021,27.0,14.5,20.9,0.7
09.06.2021,27.1,12.9,20.0,0.6
10.06.2021,24.1,13.3,18.3,1.4
11.06.2021,24.1,11.9,17.9,0.7
12.06.2021,23.8,11.0,17.9,1.2
13.06.2021,25.5,11.7,19.8,0.1
14.06.2021,24.4,15.4,19.4,1.0
15.06.2021,24.2,11.6,17.7,0.2
16.06.2021,20.6,11.3,15.7,2.3
17.06.2021,27.2,10.0,18.2,0.0
18.06.2021,26.0,12.4,19.6,0.0
19.06.2021,28.3,14.7,22.1,0.0
20.06.2021,30.4,16.2,23.8,0.0
21.06.2021,26.4,15.5,21.1,1.8
22.06.2021,25.4,15.4,19.6,6.9
23.06.2021,26.3,13.3,20.5,0.2
24.06.2021,26.5,17.3,21.7,0.4
25.06.2021,27.9,17.8,23.0,0.0
26.06.2021,27.6,15.9,22.3,0.1
27.06.2021,29.7,18.8,23.9,0.0
28.06.2021,29.1,19.7,24.5,0.0
29.06.2021,29.9,19.1,24.4,0.0
30.06.2021,31.2,18.6,24.9,0.0
01.07.2021,33.6,18.8,26.9,0.0
02.07.2021,36.2,18.3,28.4,0.0
03.07.2021,33.4,19.1,25.1,0.2
04.07.2021,27.5,15.9,21.7,0.1
05.07.2021,27.4,14.7,21.6,0.0
06.07.2021,28.6,17.5,23.1,0.0
07.07.2021,28.7,15.7,22.9,0.0
08.07.2021,28.7,18.3,24.3,1.0
09.07.2021,29.7,19.2,24.7,0.1
10.07.2021,28.2,18.7,23.9,0.0
11.07.2021,30.2,18.0,24.3,0.0
12.07.2021,32.1,18.2,25.9,0.0
13.07.2021,32.6,20.1,27.2,0.0
14.07.2021,32.7,20.3,26.5,0.0
15.07.2021,30.5,19.2,25.1,0.0
16.07.2021,31.8,18.5,25.3,0.0
17.07.2021,35.1,20.4,28.0,0.0
18.07.2021,37.0,22.2,30.1,0.0
19.07.2021,36.4,19.6,28.9,0.0
20.07.2021,35.4,20.0,28.6,0.0
21.07.2021,34.6,22.6,29.1,0.0
22.07.2021,31.5,21.3,26.2,0.0
23.07.2021,28.4,17.6,23.1,0.0
24.07.2021,28.4,17.7,23.0,0.0
25.07.2021,28.1,16.7,22.8,0.0
26.07.2021,30.2,18.5,24.6,0.0
27.07.2021,29.9,17.7,24.1,0.0
28.07.2021,29.5,18.4,24.2,0.0
29.07.2021,28.4,16.4,22.6,0.0
30.07.2021,30.8,17.2,24.5,0.0
31.07.2021,30.8,19.1,25.3,0.0
01.08.2021,32.3,20.3,26.3,0.0
02.08.2021,31.4,19.5,25.6,0.0
03.08.2021,33.3,20.5,26.8,0.0
04.08.2021,34.2,21.8,28.0,0.0
05.08.2021,34.4,22.0,28.4,0.0
06.08.2021,36.2,20.6,29.0,0.0
07.08.2021,32.1,19.6,25.3,0.9
08.08.2021,26.6,17.2,21.9,2.3
09.08.2021,26.8,18.1,22.6,1.4
10.08.2021,28.5,18.0,23.1,0.0
11.08.2021,28.6,17.1,22.6,0.1
12.08.2021,28.0,16.5,22.4,0.0
13.08.2021,27.6,17.9,22.5,0.0
14.08.2021,26.6,17.7,21.8,0.0
15.08.2021,26.5,15.0,20.5,0.0
