Tarih,Gün,Ürün Adı,Birim,En Düşük Fiyat,En Yüksek Fiyat,Onceki_Seans_En_Dusuk_Fiyat,Maks_Sicaklik_C,Min_Sicaklik_C,Ort_Sicaklik_C,Toplam_Yagis_mm,Ort_Sicaklik_C_7_gun_once,Ort_Sicaklik_C_14_gun_once,Ort_Sicaklik_C_30_gun_once,Toplam_Yagis_mm_7_gun_once,Toplam_Yagis_mm_14_gun_once,Toplam_Yagis_mm_30_gun_once,Son_30_Gun_Ort_Yagis
08.08.2024,Perşembe,ACUR,Kg,15,25,,33.7,19.0,26.8,0.0,24.3,26.8,26.4,0.0,1.0,0.0,0.31000000000000016
12.08.2024,Pazartesi,ACUR,Kg,15,25,15,29.9,18.3,24.1,0.0,27.8,23.2,25.7,0.0,0.0,0.2,0.19333333333333344
15.08.2024,Perşembe,ACUR,Kg,15,25,15,32.9,19.6,26.3,0.0,26.8,24.3,26.2,0.0,0.0,0.0,0.19333333333333344
19.08.2024,Pazartesi,ACUR,Kg,15,25,15,35.5,17.3,26.7,0.0,24.1,27.8,26.7,0.0,0.0,0.0,0.10666666666666677
22.08.2024,Perşembe,ACUR,Kg,15,25,15,33.6,18.8,26.6,0.0,26.3,26.8,29.7,0.0,0.0,0.0,0.10666666666666677
26.08.2024,Pazartesi,ACUR,Kg,15,25,15,29.3,15.8,22.1,0.3,26.7,24.1,22.1,0.0,0.0,0.0,0.06666666666666679
29.08.2024,Perşembe,ACUR,Kg,15,25,15,29.9,17.2,23.2,0.1,26.6,26.3,24.5,0.0,0.0,0.0,0.07000000000000012
02.09.2024,Pazartesi,ACUR,Kg,15,25,15,27.6,14.6,20.6,0.7,22.1,26.7,27.2,0.3,0.0,0.0,0.2666666666666668
05.09.2024,Perşembe,ACUR,Kg,15,25,15,28.3,17.7,22.8,1.5,23.2,26.6,27.1,0.1,0.0,0.0,0.3433333333333335
09.09.2024,Pazartesi,ACUR,Kg,15,25,15,27.8,13.8,20.7,0.0,20.6,22.1,27.2,0.7,0.3,0.3,0.4066666666666668
12.09.2024,Perşembe,ACUR,Kg,15,25,15,29.2,14.7,21.8,0.3,22.8,23.2,24.6,1.5,0.1,0.0,0.43333333333333346
16.09.2024,Pazartesi,ACUR,Kg,15,25,15,26.3,15.1,20.6,0.0,20.7,20.6,21.1,0.0,0.7,0.0,0.43333333333333346
19.09.2024,Perşembe,ACUR,Kg,15,25,15,24.5,14.7,19.6,0.0,21.8,22.8,27.9,0.3,1.5,0.0,0.43333333333333346
23.09.2024,Pazartesi,ACUR,Kg,15,25,15,19.6,9.4,14.6,0.1,20.6,20.7,23.9,0.0,0.0,1.3,0.7266666666666667
26.09.2024,Perşembe,ACUR,Kg,15,25,15,24.3,12.0,17.6,0.0,19.6,21.8,23.2,0.0,0.3,0.0,0.7133333333333334
30.09.2024,Pazartesi,ACUR,Kg,15,25,15,27.7,12.7,17.8,13.9,14.6,20.6,22.9,0.1,0.0,0.1,1.1700000000000004
03.10.2024,Perşembe,ACUR,Kg,0,0,15,23.5,7.6,15.5,0.0,17.6,19.6,21.6,0.0,0.0,0.5,0.9733333333333334
07.10.2024,Pazartesi,ACUR,Kg,0,0,0,27.5,11.5,18.6,0.0,17.8,14.6,22.0,13.9,0.1,0.0,0.9133333333333334
10.10.2024,Perşembe,ACUR,Kg,0,0,0,28.2,10.5,18.9,0.0,15.5,17.6,21.6,0.0,0.0,0.0,0.8400000000000001
14.10.2024,Pazartesi,ACUR,Kg,0,0,0,23.9,12.0,17.7,0.0,18.6,17.8,23.1,0.0,13.9,0.0,0.8166666666666668
