Tarih,Gün,Ürün Adı,Birim,En Düşük Fiyat,En Yüksek Fiyat,Maks_Sicaklik_C,Min_Sicaklik_C,Ort_Sicaklik_C,Toplam_Yagis_mm
12.04.2021,Pazartesi,BAKLA,Kg,3,"5,5",8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,BİBER (CİN),Kg,15,23,8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,BİBER (ÇARLİ),Kg,6,8,8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,BİBER (DOLMA),Kg,6,8,8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,BİBER (KIL),Kg,10,14,8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,BİBER (KAPYA),Kg,"8,5",16,8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,BİBER (SİVRİ),Kg,8,11,8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,BİBER (KÖY),Kg,8,10,8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,BROKOLİ,Kg,6,9,8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,DERE OTU,Bağ,"0,5",1,8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,DOMATES (Çeri),Kg,7,11,8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,DOMATES (MUHTELİF),Kg,"3,5",6,8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,DOMATES (SALKIM),Kg,4,"6,5",8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,DOMATES (KÖY),Kg,"4,5",7,8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,EKŞİ OT (BAĞ),Bağ,"0,5",1,8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,ENGİNAR (ADET),Adet,5,7,8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,FASULYE (MUHTELİF),Kg,8,15,8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,FESLEĞEN (REYHAN),Bağ,1,2,8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,HAVUÇ,Kg,1,"2,5",8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,ISPANAK,Kg,1,"2,5",8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,KABAK (BAL),Kg,1,2,8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,KABAK (BEYAZ),Kg,2,4,8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,KABAK (KARA),Kg,2,"3,5",8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,KARNABAHAR,Kg,3,5,8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,KEREVİZ,Kg,2,4,8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,LAHANA (BEYAZ),Kg,"0,7","1,8",8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,LAHANA (MOR),Kg,1,2,8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,MANTAR (KÜLTÜR),Kg,7,13,8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,MARUL (AYSBERK),Adet,"3,5","4,8",8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,MARUL (MOR),Adet,"2,5",4,8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,NANE (BAĞ),Bağ,"0,5",1,8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,PANCAR (KIRMIZI),Kg,"1,5","2,5",8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,PATLICAN (KEMER),Kg,2,"3,5",8.9,0.4,4.1,0.2
12.04.2021,Pazartesi,PATLICAN (TOPAK),Kg,2,"3,5",8.9,0.4,4.1,0.2
